repo,path,id,group,stated_status_line,lifecycle_phase,owner,baseline_status,baseline_closed,last_git_commit_date,last_git_commit,age_days,evidence_line,evidence_quote,evidence,classification_method,checked_boxes,unchecked_boxes,source_sha256,retirement_candidate,retirement_reason,duplicate_id_across_repos
futon0,futon0/holes/C-bayesian-structure-learning-family.md,C-bayesian-structure-learning-family,open,L7: **Date:** 2026-06-08 — **Phase: CHARTER** (state: FORMING → CHARTERED).,L7: CHARTER** (state: FORMING → CHARTERED).,,md`).,no,2026-06-09T11:22:28+01:00,472f93e9285c4f5bf555ae637eead3fc11e29990,104,7,**Date:** 2026-06-08 — **Phase: CHARTER** (state: FORMING → CHARTERED).,Nonterminal stated status/lifecycle; no reviewed whole-document closure or retirement record.,nonterminal-header,0,0,3076a78e9cf2cda532c2656cfc3499250519c4aba013ca82c8d4480c5728ad47,yes,Open; last Git touch 2026-06-09 UTC (104 days before census date).,
futon0,futon0/holes/E-post-commit-hooks-for-web.md,E-post-commit-hooks-for-web,open,"L4: **Status:** IDEA — deliberately not built (Joe: ""let's not do it yet"")",,L5: unassigned,"idea — deliberately not built (joe: ""let's not do it yet"")",no,2026-08-22T11:20:05+00:00,435e92fdbc697ad48eeb2154ca6a264b7456aaf8,30,4,"**Status:** IDEA — deliberately not built (Joe: ""let's not do it yet"")",Nonterminal stated status/lifecycle; no reviewed whole-document closure or retirement record.,nonterminal-header,0,0,66bea814e517b8a9f516e9f9cc50fb0e0f400ebf67554028327a1c8ecd14fcea,yes,Open; last Git touch 2026-08-22 UTC (30 days before census date).,
futon0,futon0/holes/E-starmap-branch-merge.md,E-starmap-branch-merge,undetermined,,,"L7: TBD (natural: whoever holds the star-map branch / claude-1, the prior mission owner).",unknown,no,2026-06-10T21:01:59+01:00,2968d7ff0b5cc84203af4f416b1d06cafd22f387,103,,,No recognized document status/lifecycle field in first 80 lines; later section statuses are not promoted to mission status.,no-header,0,0,efc1278576bda3650ac7c47ea65d4ca49e1832c293d406690845afce77abc968,no,,
futon0,futon0/holes/E-starmap-efe-hardening.md,E-starmap-efe-hardening,undetermined,,,L7: TBD.,unknown,no,2026-06-10T21:01:59+01:00,2968d7ff0b5cc84203af4f416b1d06cafd22f387,103,,,No recognized document status/lifecycle field in first 80 lines; later section statuses are not promoted to mission status.,no-header,0,0,753134bb9b562004f4258b968aec2a6f52a9c035b94fce527fe31ca7b4aab891,no,,
futon0,futon0/holes/E-starmap-full-registry-scan.md,E-starmap-full-registry-scan,undetermined,,,L7: TBD.,unknown,no,2026-06-10T21:01:59+01:00,2968d7ff0b5cc84203af4f416b1d06cafd22f387,103,,,No recognized document status/lifecycle field in first 80 lines; later section statuses are not promoted to mission status.,no-header,0,0,7492ebcbdc107de89085f0b6558c2ae16dc026e9f06d51b77a29ef98390c328c,no,,
futon0,futon0/holes/E-starmap-vsatarcs-regen.md,E-starmap-vsatarcs-regen,undetermined,,,L7: TBD.,unknown,no,2026-06-10T21:01:59+01:00,2968d7ff0b5cc84203af4f416b1d06cafd22f387,103,,,No recognized document status/lifecycle field in first 80 lines; later section statuses are not promoted to mission status.,no-header,0,0,e7622975e7addf8defc8c51610ac11f66d83b6eddc2f5fb6f459589a041a8d11,no,,
futon0,futon0/holes/M-capability-levels.md,M-capability-levels,open,"L3: **Status:** HEAD — operator-shape captured 2026-08-15, not yet IDENTIFY.","L3 (status phase mentions): HEAD, IDENTIFY",,"head — operator-shape captured 2026-08-15, not yet identify.",no,2026-08-17T13:19:56+01:00,35598dfc6b4324f210a793d0441a61e7035efa0b,35,3,"**Status:** HEAD — operator-shape captured 2026-08-15, not yet IDENTIFY.",Nonterminal stated status/lifecycle; no reviewed whole-document closure or retirement record.,nonterminal-header,0,0,c51d5d3270f97df423c7e73e860ff75b114bd45cc7e3bc9ffe6b5f62fd940d79,yes,Open; last Git touch 2026-08-17 UTC (35 days before census date).,
futon0,futon0/holes/M-what-is-it-who-is-it-for.md,M-what-is-it-who-is-it-for,open,L3: **Status:** HEAD captured 2026-08-17 · **MAP complete** 2026-08-17 (§2) ·,"L3 (status phase mentions): HEAD, MAP",,head captured 2026-08-17 · **map complete** 2026-08-17 (§2) ·,yes,2026-08-19T10:31:28+01:00,04c85f69d53a3d33fa19a286dda5591a449c9c9c,33,3,**Status:** HEAD captured 2026-08-17 · **MAP complete** 2026-08-17 (§2) ·,MAP completion is phase-local; IDENTIFY and DERIVE explicitly not started (lines 3–4).,manual,0,0,b593022e40a058445c7fc3e25a85cd5754644bbdd856065ba4f4c561f58d13c7,yes,Open; last Git touch 2026-08-19 UTC (33 days before census date).,
futon0,futon0/holes/excursions/E-affect-live.md,E-affect-live,undetermined,,,L4: codex-4,unknown,no,2026-06-09T15:29:32+01:00,d5c08b9b3174eb1c3cc8e01c3c025e7819c68c1f,104,,,No recognized document status/lifecycle field in first 80 lines; later section statuses are not promoted to mission status.,no-header,0,0,23b504bf2259742bc554a4b45e945724c2733e7cbc693d1eac569ba347b775e6,no,,
futon0,futon0/holes/excursions/E-aif-daisyworld.md,E-aif-daisyworld,open,L4: **Status:** CHARTER + log. Phases 1–3a done; 3b (REINFORCE) = honest negative; **3b′ (EVOLUTION) = positive** —,,L6: claude-2 (build) + Joe (direction).,charter + log. phases 1–3a done; 3b (reinforce) = honest negative; **3b′ (evolut,yes,2026-06-24T14:05:59+01:00,4bec7f9ecb1457d35261f0b83c88403a39f741bd,89,4,**Status:** CHARTER + log. Phases 1–3a done; 3b (REINFORCE) = honest negative; **3b′ (EVOLUTION) = positive** —,CHARTER plus partial phase results; the carried full closed-loop test remains at lines 77–80.,manual,0,0,80de8b2d4acfeee845adaba9de1d854b99e3d0f7d1df99488d32e882b8b2e099,yes,Open; last Git touch 2026-06-24 UTC (89 days before census date).,
futon0,futon0/holes/excursions/E-claude-usage-anchor-handoff-2026-05-01.md,E-claude-usage-anchor-handoff-2026-05-01,undetermined,,,L4: Codex,unknown,no,2026-05-03T19:03:31+01:00,53f3ee01b244218c1421e5c5e7917e02a6bc6810,141,,,No recognized document status/lifecycle field in first 80 lines; later section statuses are not promoted to mission status.,no-header,0,0,34738b76185db0800e10cfb4779d4ca1c46489d84b267849d62a3a22609142ca,no,,
futon0,futon0/holes/excursions/E-current-usage-report.md,E-current-usage-report,undetermined,,,,unknown,no,2026-05-03T19:03:31+01:00,53f3ee01b244218c1421e5c5e7917e02a6bc6810,141,,,No recognized document status/lifecycle field in first 80 lines; later section statuses are not promoted to mission status.,no-header,0,0,6048598900742e19fc59c1bd0a2b9c39e83f986980f4d1e2a6b260742cf01df5,no,,
futon0,futon0/holes/excursions/E-inbox-zero-implementation.md,E-inbox-zero-implementation,open,L3: **Status:** IDENTIFY — data specification before implementation  ,L3 (status phase mentions): IDENTIFY,,identify — data specification before implementation  ,no,2026-08-25T18:57:33+00:00,bca74282604a437df9eccc670f3a594242bf9da1,27,3,**Status:** IDENTIFY — data specification before implementation  ,Nonterminal stated status/lifecycle; no reviewed whole-document closure or retirement record.,nonterminal-header,0,0,d632f5916bf71daeed51fb0a1372cf99f154d5b6f7330744793f0719f47f58a4,no,,
futon0,futon0/holes/missions/M-apm-capability-ratchet.md,M-apm-capability-ratchet,open,L4: **Status:** MAP — capability-topology map and evidence-observation substrate survey added 2026-07-22,L4 (status phase mentions): MAP,L5: Joe + agents,map — capability-topology map and evidence-observation substrate survey added 20,no,2026-07-23T22:08:34+01:00,4796804707bd6c4b092d1575ab81d40bae7367d0,60,4,**Status:** MAP — capability-topology map and evidence-observation substrate survey added 2026-07-22,Nonterminal stated status/lifecycle; no reviewed whole-document closure or retirement record.,nonterminal-header,3,23,f38a55efacbf286d32890d7cdca0740a255519f88bd06009335097de67d0034e,yes,Open; last Git touch 2026-07-23 UTC (60 days before census date).,
futon0,futon0/holes/missions/M-capability-star-map.md,M-capability-star-map,closed-unwitnessed,"L4: **Status:** CLOSED 2026-06-10 — operator close via WM pilot cycle #1 (pilot claude-3); caveats spun out to [[E-starmap-branch-merge]], [[E-starmap-full-registry-scan]], [[E-starmap-efe-hardening]], [[E-starmap-vsatarcs-regen]]. | L5: **Lifecycle:** INSTANTIATE — mechanism proven 2026-06-07 (Unit B EFE-over-graph + INV-G verified + accepted; Unit A pipeline accepted, extraction hollow = `:prototyping-forward`). Integration DEFERRED until REAL data assembled (operator A). **Region sweep COMPLETE + C3 PASS (production-faithful) 2026-06-07** — capability inventory grounded across all 7 thesis-regions (C-pudding-prover §8.2.1–8.2.7); EFE top-ranks an applicable single-cycle leaf with no cherry-pick (keystone `efe-trustworthy-over-starmap` **demonstrated**). **Mission CLOSED 2026-06-10** — operator close decided by Joe via **WM pilot cycle #1** (pilot","L5: INSTANTIATE — mechanism proven 2026-06-07 (Unit B EFE-over-graph + INV-G verified + accepted; Unit A pipeline accepted, extraction hollow = `:prototyping-forward`). Integration DEFERRED until REAL data assembled (operator A). **Region sweep COMPLETE + C3 PASS (production-faithful) 2026-06-07** — capability inventory grounded across all 7 thesis-regions (C-pudding-prover §8.2.1–8.2.7); EFE top-ranks an applicable single-cycle leaf with no cherry-pick (keystone `efe-trustworthy-over-starmap` **demonstrated**). **Mission CLOSED 2026-06-10** — operator close decided by Joe via **WM pilot cycle #1** (pilot",L11: claude-1 (pending operator-direction),closed 2026-06-10 — operator close via wm pilot cycle #1 (pilot claude-3); cavea,yes,2026-06-10T21:28:51+01:00,563a2a1c021fe9c5ab61616108a671ef81013c02,103,219,### Completion criteria (testable),"Operator close is recorded at 1276–1286, but the four completion criteria at 219–225 have no complete discharge ledger; integration and four caveats are transferred, not an explicit retirement of the charter.",manual,0,0,e10feaa7dbf6e07df4988e9f34c546f71e1aefd2a2b81e7f60032cc439947de0,no,,
futon0,futon0/holes/missions/M-capability-zones-S1-coverage.md,M-capability-zones-S1-coverage,undetermined,,,,unknown,no,2026-07-22T12:27:00+01:00,a060f337d36283b1975a6eb4266cdad80bc0cb29,61,,,No recognized document status/lifecycle field in first 80 lines; later section statuses are not promoted to mission status.,no-header,0,0,39709e752d65042a721c144bece607fee1eec8411dcabde65939e09efef1de2b,no,,
